file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/pandas/bodies/body_8893.py,GPTValuePredictor,initial,56.74252510070801,1,[0],{},0,{},"{22096, 22097, 22094, 22095}",4,4,1.0,['body_8893_initial_0'],1,body_8893_initial_0,1.0,56.74252510070801
./popular_projects_snippets_dataset/pandas/bodies/body_8893.py,GPTValuePredictor,refine,2.86102294921875e-06,0,[0],{},0,{},"{22096, 22097, 22094, 22095}",4,4,1.0,['body_8893_initial_0'],1,body_8893_initial_0,1.0,0.0
./popular_projects_snippets_dataset/pandas/bodies/body_8893.py,GPTValuePredictor,guide,0.0001814365386962,0,[0],{},0,{},"{22096, 22097, 22094, 22095}",4,4,1.0,['body_8893_initial_0'],1,body_8893_initial_0,1.0,0.0
./popular_projects_snippets_dataset/black/bodies/body_292.py,GPTValuePredictor,initial,32.666823625564575,10,"[6, 8]",{},0,{},"{17731, 17732, 17733, 17734}",4,6,0.6666666666666666,"['body_292_initial_0', 'body_292_initial_6']",2,body_292_initial_6,0.5,3.2666823625564576
./popular_projects_snippets_dataset/black/bodies/body_292.py,GPTValuePredictor,refine,208.2691075801849,80,"[6, 8]","{0: [], 1: [], 2: [3], 3: [], 4: [2, 8], 5: [6], 7: [], 9: []}",0,{},"{17731, 17732, 17733, 17734}",4,6,0.6666666666666666,"['body_292_initial_0', 'body_292_initial_6']",2,body_292_initial_6,0.5,2.6033638447523115
./popular_projects_snippets_dataset/black/bodies/body_292.py,GPTValuePredictor,guide,11.281506538391112,1,"[6, 8]","{0: [], 1: [], 2: [3], 3: [], 4: [2, 8], 5: [6], 7: [], 9: []}",1,{0: [0]},"{17729, 17730, 17731, 17732, 17733, 17734}",6,6,1.0,"['body_292_initial_0', 'body_292_initial_6', 'body_292_guide_0_0']",3,body_292_initial_6,0.5,11.281506538391112
./popular_projects_snippets_dataset/flask/bodies/body_44.py,GPTValuePredictor,initial,22.22273540496826,10,[],{},0,{},{15709},1,4,0.25,['body_44_initial_0'],1,body_44_initial_0,0.25,2.2222735404968263
./popular_projects_snippets_dataset/flask/bodies/body_44.py,GPTValuePredictor,initial,23.530796766281128,10,[],{},0,{},{15716},1,4,0.25,['body_44_initial_0'],1,body_44_initial_0,0.25,2.353079676628113
./popular_projects_snippets_dataset/flask/bodies/body_44.py,GPTValuePredictor,refine,211.461284160614,100,[],"{0: [], 1: [6], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",0,{},{15709},1,4,0.25,['body_44_initial_0'],1,body_44_initial_0,0.25,2.11461284160614
./popular_projects_snippets_dataset/flask/bodies/body_44.py,GPTValuePredictor,refine,208.2466804981232,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",0,{},{15716},1,4,0.25,['body_44_initial_0'],1,body_44_initial_0,0.25,2.082466804981232
./popular_projects_snippets_dataset/flask/bodies/body_44.py,GPTValuePredictor,guide,235.6494464874268,100,[],"{0: [], 1: [6], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",{15709},1,4,0.25,['body_44_initial_0'],1,body_44_initial_0,0.25,2.356494464874268
./popular_projects_snippets_dataset/flask/bodies/body_44.py,GPTValuePredictor,guide,230.48717093467712,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",{15716},1,4,0.25,['body_44_initial_0'],1,body_44_initial_0,0.25,2.3048717093467714
./popular_projects_snippets_dataset/pandas/bodies/body_4886.py,GPTValuePredictor,initial,137.7918837070465,10,[],{},0,{},"{21201, 21202, 21203, 21204, 21205}",5,6,0.8333333333333334,"['body_4886_initial_0', 'body_4886_initial_1']",2,body_4886_initial_1,0.8333333333333334,13.77918837070465
./popular_projects_snippets_dataset/pandas/bodies/body_4886.py,GPTValuePredictor,refine,96.30320644378662,1,[],{0: [0]},0,{},"{21201, 21202, 21203, 21204, 21205, 21206}",6,6,1.0,"['body_4886_initial_0', 'body_4886_initial_1', 'body_4886_refine_0_0']",3,body_4886_refine_0_0,1.0,96.30320644378662
./popular_projects_snippets_dataset/pandas/bodies/body_4886.py,GPTValuePredictor,guide,0.0002520084381103,0,[],{0: [0]},0,{},"{21201, 21202, 21203, 21204, 21205, 21206}",6,6,1.0,"['body_4886_initial_0', 'body_4886_initial_1', 'body_4886_refine_0_0']",3,body_4886_refine_0_0,1.0,0.0
./popular_projects_snippets_dataset/black/bodies/body_92.py,GPTValuePredictor,initial,16.215176343917847,10,[4],{},0,{},"{15840, 15841, 15842, 15826, 15827, 15828, 15830, 15831, 15833, 15834, 15835, 15836, 15838}",13,17,0.7647058823529411,['body_92_initial_0'],1,body_92_initial_0,0.7647058823529411,1.6215176343917848
./popular_projects_snippets_dataset/black/bodies/body_92.py,GPTValuePredictor,refine,134.19575119018555,90,[4],"{0: [3], 1: [], 2: [3], 3: [], 5: [2], 6: [], 7: [8], 8: [], 9: []}",0,{},"{15840, 15841, 15842, 15826, 15827, 15828, 15830, 15831, 15833, 15834, 15835, 15836, 15838}",13,17,0.7647058823529411,['body_92_initial_0'],1,body_92_initial_0,0.7647058823529411,1.4910639021131726
./popular_projects_snippets_dataset/black/bodies/body_92.py,GPTValuePredictor,guide,140.57780194282532,100,[4],"{0: [3], 1: [], 2: [3], 3: [], 5: [2], 6: [], 7: [8], 8: [], 9: []}",10,"{0: [9], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{15840, 15841, 15842, 15826, 15827, 15828, 15830, 15831, 15833, 15834, 15835, 15836, 15838}",13,17,0.7647058823529411,['body_92_initial_0'],1,body_92_initial_0,0.7647058823529411,1.4057780194282532
./popular_projects_snippets_dataset/black/bodies/body_289.py,GPTValuePredictor,initial,23.99555611610413,10,"[1, 8]",{},0,{},"{16752, 16748, 16749}",3,5,0.6,"['body_289_initial_0', 'body_289_initial_1']",2,body_289_initial_0,0.4,2.3995556116104124
./popular_projects_snippets_dataset/black/bodies/body_289.py,GPTValuePredictor,refine,15.724452018737791,4,"[1, 8]",{0: []},0,{},"{16752, 16748, 16749, 16750, 16751}",5,5,1.0,"['body_289_initial_0', 'body_289_initial_1', 'body_289_refine_0_3']",3,body_289_initial_0,0.4,3.931113004684448
./popular_projects_snippets_dataset/black/bodies/body_289.py,GPTValuePredictor,guide,0.0002048015594482,0,"[1, 8]",{0: []},0,{},"{16752, 16748, 16749, 16750, 16751}",5,5,1.0,"['body_289_initial_0', 'body_289_initial_1', 'body_289_refine_0_3']",3,body_289_initial_0,0.4,0.0
./popular_projects_snippets_dataset/pandas/bodies/body_18429.py,GPTValuePredictor,initial,164.03814792633057,10,"[0, 2, 4, 5, 6, 8, 9]",{},0,{},"{20903, 20904, 20905, 20906, 20907, 20908, 20909, 20910, 20911, 20912, 20914, 20916, 20918}",13,16,0.8125,"['body_18429_initial_0', 'body_18429_initial_3']",2,body_18429_initial_0,0.75,16.403814792633057
