file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./so_snippets_dataset/snippet_65.py,GPTValuePredictor,initial,0.8715519905090332,0,[],{},0,{},"{14432, 14433}",2,2,1.0,['snippet_65_initial'],1,snippet_65_initial,1.0,0.0
./so_snippets_dataset/snippet_65.py,GPTValuePredictor,refine,5.960464477539063e-06,0,[],{},0,{},"{14432, 14433}",2,2,1.0,['snippet_65_initial'],1,snippet_65_initial,1.0,0.0
./so_snippets_dataset/snippet_65.py,GPTValuePredictor,guide,0.0003049373626708,0,[],{},0,{},"{14432, 14433}",2,2,1.0,['snippet_65_initial'],1,snippet_65_initial,1.0,0.0
./so_snippets_dataset/snippet_166.py,GPTValuePredictor,initial,0.7776651382446289,0,[],{},0,{},"{14530, 14531, 14532, 14533, 14534}",5,5,1.0,['snippet_166_initial'],1,snippet_166_initial,1.0,0.0
./so_snippets_dataset/snippet_166.py,GPTValuePredictor,refine,5.4836273193359375e-06,0,[],{},0,{},"{14530, 14531, 14532, 14533, 14534}",5,5,1.0,['snippet_166_initial'],1,snippet_166_initial,1.0,0.0
./so_snippets_dataset/snippet_166.py,GPTValuePredictor,guide,0.0002939701080322,0,[],{},0,{},"{14530, 14531, 14532, 14533, 14534}",5,5,1.0,['snippet_166_initial'],1,snippet_166_initial,1.0,0.0
./so_snippets_dataset/snippet_235.py,GPTValuePredictor,initial,7.959846496582031,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",{},0,{},set(),0,7,0.0,[],0,,0.0,0.7959846496582031
./so_snippets_dataset/snippet_235.py,GPTValuePredictor,refine,5.960464477539063e-06,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",{},0,{},set(),0,7,0.0,[],0,,0.0,0.0
./so_snippets_dataset/snippet_235.py,GPTValuePredictor,guide,71.94458842277527,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",{},10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",set(),0,7,0.0,[],0,,0.0,0.7194458842277527
./so_snippets_dataset/snippet_614.py,GPTValuePredictor,initial,0.8432128429412842,0,[],{},0,{},"{13734, 13735, 13736, 13737, 13738, 13739}",6,6,1.0,['snippet_614_initial'],1,snippet_614_initial,1.0,0.0
./so_snippets_dataset/snippet_614.py,GPTValuePredictor,refine,4.76837158203125e-06,0,[],{},0,{},"{13734, 13735, 13736, 13737, 13738, 13739}",6,6,1.0,['snippet_614_initial'],1,snippet_614_initial,1.0,0.0
./so_snippets_dataset/snippet_614.py,GPTValuePredictor,guide,0.0002367496490478,0,[],{},0,{},"{13734, 13735, 13736, 13737, 13738, 13739}",6,6,1.0,['snippet_614_initial'],1,snippet_614_initial,1.0,0.0
./so_snippets_dataset/snippet_712.py,GPTValuePredictor,initial,0.9362077713012696,0,[],{},0,{},"{14208, 14206}",2,6,0.3333333333333333,['snippet_712_initial'],1,snippet_712_initial,0.3333333333333333,0.0
./so_snippets_dataset/snippet_712.py,GPTValuePredictor,refine,2.384185791015625e-06,0,[],{},0,{},"{14208, 14206}",2,6,0.3333333333333333,['snippet_712_initial'],1,snippet_712_initial,0.3333333333333333,0.0
./so_snippets_dataset/snippet_712.py,GPTValuePredictor,guide,108.9910445213318,100,[],{},10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{14208, 14206}",2,6,0.3333333333333333,['snippet_712_initial'],1,snippet_712_initial,0.3333333333333333,1.089910445213318
./so_snippets_dataset/snippet_30.py,GPTValuePredictor,initial,5.854411602020264,1,[0],{},0,{},"{13530, 13531, 13532}",3,3,1.0,['snippet_30_initial_0'],1,snippet_30_initial_0,1.0,5.854411602020264
./so_snippets_dataset/snippet_30.py,GPTValuePredictor,refine,6.198883056640625e-06,0,[0],{},0,{},"{13530, 13531, 13532}",3,3,1.0,['snippet_30_initial_0'],1,snippet_30_initial_0,1.0,0.0
./so_snippets_dataset/snippet_30.py,GPTValuePredictor,guide,0.0003416538238525,0,[0],{},0,{},"{13530, 13531, 13532}",3,3,1.0,['snippet_30_initial_0'],1,snippet_30_initial_0,1.0,0.0
./so_snippets_dataset/snippet_710.py,GPTValuePredictor,initial,7.860679149627685,1,[0],{},0,{},"{13850, 13851, 13852}",3,3,1.0,['snippet_710_initial_0'],1,snippet_710_initial_0,1.0,7.860679149627685
./so_snippets_dataset/snippet_710.py,GPTValuePredictor,refine,2.86102294921875e-06,0,[0],{},0,{},"{13850, 13851, 13852}",3,3,1.0,['snippet_710_initial_0'],1,snippet_710_initial_0,1.0,0.0
./so_snippets_dataset/snippet_710.py,GPTValuePredictor,guide,0.0001869201660156,0,[0],{},0,{},"{13850, 13851, 13852}",3,3,1.0,['snippet_710_initial_0'],1,snippet_710_initial_0,1.0,0.0
./so_snippets_dataset/snippet_274.py,GPTValuePredictor,initial,34.833216428756714,1,[0],{},0,{},"{13592, 13593, 13594, 13591}",4,4,1.0,['snippet_274_initial_0'],1,snippet_274_initial_0,1.0,34.833216428756714
./so_snippets_dataset/snippet_274.py,GPTValuePredictor,refine,5.7220458984375e-06,0,[0],{},0,{},"{13592, 13593, 13594, 13591}",4,4,1.0,['snippet_274_initial_0'],1,snippet_274_initial_0,1.0,0.0
